Land,Naam speler,Positie
Mexico,C. Acevedo,Keeper
Mexico,G. Ochoa,Keeper
Mexico,J. Rangel,Keeper
Mexico,J. Gallardo,Verdediger
Mexico,C. Montes,Verdediger
Mexico,I. Reyes,Verdediger
Mexico,J. Sánchez,Verdediger
Mexico,J. Vásquez,Verdediger
Mexico,E. Álvarez,Middenvelder
Mexico,M. Chávez,Verdediger
Mexico,O. Vargas,Middenvelder
Mexico,L. Chávez,Middenvelder
Mexico,Álvaro Fidalgo,Middenvelder
Mexico,B. Gutiérrez,Middenvelder
Mexico,É. Lira,Middenvelder
Mexico,G. Mora,Middenvelder
Mexico,O. Pineda,Middenvelder
Mexico,L. Romo,Middenvelder
Mexico,R. Alvarado,Middenvelder
Mexico,S. Giménez,Aanvaller
Mexico,A. González,Aanvaller
Mexico,C. Huerta,Middenvelder
Mexico,R. Jiménez,Aanvaller
Mexico,G. Martínez,Aanvaller
Mexico,J. Quiñones,Middenvelder
Mexico,A. Vega,Aanvaller
Zuid-Afrika,S. Chaine,Keeper
Zuid-Afrika,R. Goss,Keeper
Zuid-Afrika,R. Williams,Keeper
Zuid-Afrika,B. Cross,Verdediger
Zuid-Afrika,S. Kabini,Verdediger
Zuid-Afrika,O. Makhanya,Verdediger
Zuid-Afrika,M. Mbokazi,Verdediger
Zuid-Afrika,A. Modiba,Verdediger
Zuid-Afrika,K. Mudau,Verdediger
Zuid-Afrika,K. Ndamane,Verdediger
Zuid-Afrika,I. Okon,Verdediger
Zuid-Afrika,N. Sibisi,Verdediger
Zuid-Afrika,T. Matuludi,Verdediger
Zuid-Afrika,J. Adams,Middenvelder
Zuid-Afrika,T. Mbatha,Middenvelder
Zuid-Afrika,T. Mokoena,Middenvelder
Zuid-Afrika,S. Sithole,Middenvelder
Zuid-Afrika,T. Zwane,Middenvelder
Zuid-Afrika,O. Appollis,Aanvaller
Zuid-Afrika,L. Foster,Aanvaller
Zuid-Afrika,E. Makgopa,Aanvaller
Zuid-Afrika,T. Maseko,Aanvaller
Zuid-Afrika,R. Mofokeng,Aanvaller
Zuid-Afrika,T. Moremi,Middenvelder
Zuid-Afrika,I. Rayners,Aanvaller
Zuid-Afrika,K. Sebelebele,Middenvelder
Zuid-Korea,Jo Hyeon-Woo,Keeper
Zuid-Korea,Kim Seung-Gyu,Keeper
Zuid-Korea,Song Bum-Keun,Keeper
Zuid-Korea,Cho Wi-Je,Verdediger
Zuid-Korea,Kim Min-Jae,Verdediger
Zuid-Korea,Kim Moon-Hwan,Verdediger
Zuid-Korea,Kim Tae-Hyeon,Verdediger
Zuid-Korea,Lee Han-Beom,Verdediger
Zuid-Korea,Park Jin-Seop,Middenvelder
Zuid-Korea,Lee Tae-Seok,Middenvelder
Zuid-Korea,Seol Young-Woo,Middenvelder
Zuid-Korea,J. Castrop,Middenvelder
Zuid-Korea,Lee Gi-Hyuk,Verdediger
Zuid-Korea,Bae Jun-Ho,Aanvaller
Zuid-Korea,Eom Ji-Sung,Aanvaller
Zuid-Korea,Hwang In-Beom,Middenvelder
Zuid-Korea,Kim Jin-Gyu,Middenvelder
Zuid-Korea,Lee Dong-Gyeong,Aanvaller
Zuid-Korea,Lee Jae-Sung,Middenvelder
Zuid-Korea,Lee Kang-In,Middenvelder
Zuid-Korea,Paik Seung-Ho,Middenvelder
Zuid-Korea,Yang Hyun-Jun,Aanvaller
Zuid-Korea,Hwang Hee-Chan,Aanvaller
Zuid-Korea,Cho Gue-Sung,Aanvaller
Zuid-Korea,Oh Hyeon-Gyu,Aanvaller
Zuid-Korea,Son Heung-Min,Aanvaller
Tsjechië,L. Hornícek,Keeper
Tsjechië,M. Kovár,Keeper
Tsjechië,J. Stanek,Keeper
Tsjechië,S. Chaloupek,Verdediger
Tsjechië,V. Coufal,Verdediger
Tsjechië,T. Holes,Verdediger
Tsjechië,R. Hranác,Verdediger
Tsjechië,D. Jurásek,Verdediger
Tsjechië,L. Krejcí,Verdediger
Tsjechië,J. Zelený,Verdediger
Tsjechië,D. Zima,Verdediger
Tsjechië,D. Doudera,Middenvelder
Tsjechië,L. Cerv,Middenvelder
Tsjechië,V. Darida,Middenvelder
Tsjechië,L. Provod,Aanvaller
Tsjechië,M. Sadílek,Middenvelder
Tsjechië,H. Sochurek,Middenvelder
Tsjechië,A. Sojka,Middenvelder
Tsjechië,T. Soucek,Middenvelder
Tsjechië,P. Sulc,Aanvaller
Tsjechië,T. Chorý,Aanvaller
Tsjechië,M. Chytil,Aanvaller
Tsjechië,A. Hlozek,Aanvaller
Tsjechië,J. Kuchta,Aanvaller
Tsjechië,P. Schick,Aanvaller
Tsjechië,D. Visinský,Middenvelder
Canada,M. Crépeau,Keeper
Canada,O. Goodman,Keeper
Canada,D. St. Clair,Keeper
Canada,D. Cornelius,Verdediger
Canada,L. De Fougerolles,Verdediger
Canada,R. Laryea,Verdediger
Canada,J. Waterman,Verdediger
Canada,A. Johnston,Verdediger
Canada,A. Jones,Verdediger
Canada,M. Bombito,Verdediger
Canada,A. Davies,Verdediger
Canada,N. Sigur,Middenvelder
Canada,J. Shaffelburg,Middenvelder
Canada,L. Millar,Middenvelder
Canada,M. Choinière,Middenvelder
Canada,S. Eustáquio,Middenvelder
Canada,I. Koné,Middenvelder
Canada,J. Osorio,Middenvelder
Canada,N. Saliba,Middenvelder
Canada,J. Nelson,Middenvelder
Canada,T. Buchanan,Middenvelder
Canada,J. David,Aanvaller
Canada,P. David,Aanvaller
Canada,C. Larin,Aanvaller
Canada,A. Ahmed,Middenvelder
Canada,T. Oluwaseyi,Aanvaller
